UID                 		level		m_spent		m_received		i_sold		i_bought
mitsuhikoj1kt       		83.00		0.00000		0.00000		150.00000		150.00000
maiminhhan11089     		97.00		6000000.00000		1100000.00000		0.00000		900.00000
duongthithuy87      		97.00		7700000.00000		0.00000		0.00000		0.00000
duongthithuy82      		99.00		0.00000		1000000.00000		0.00000		0.00000
liemcanchumnien     		79.00		0.00000		0.00000		450.00000		0.00000
phongvatuan6789     		96.00		5800000.00000		0.00000		1200.00000		0.00000
kimphuongtran34     		51.00		0.00000		0.00000		0.00000		0.00000
lmqhtqb1995         		59.00		0.00000		5000000.00000		4900.00000		700.00000
wkl303              		81.00		2000000.00000		0.00000		0.00000		0.00000
6xvodoi1            		84.00		0.00000		0.00000		700.00000		1250.00000
sugiongaznx         		83.00		0.00000		0.00000		900.00000		900.00000
thuymovip1985       		99.00		0.00000		0.00000		0.00000		500.00000
conganh46           		99.00		48000000.00000		24170000.00000		6600.00000		2200.00000
teika2487           		92.00		0.00000		72866.00000		0.00000		0.00000
haukhmerzoo123      		82.00		0.00000		0.00000		0.00000		0.00000
0975595073a         		98.00		0.00000		0.00000		1500.00000		2900.00000
thiennhaxac1        		99.00		1200000.00000		0.00000		0.00000		1800.00000
nhathuyvipboy       		99.00		0.00000		0.00000		400.00000		0.00000
hiepsigocong        		99.00		0.00000		0.00000		0.00000		404.00000
teika2489           		92.00		0.00000		62308.00000		0.00000		300.00000
kabukiaof           		99.00		100000.00000		150000.00000		0.00000		0.00000
vocongthan12345     		99.00		0.00000		0.00000		0.00000		0.00000
soichamgiaqua       		61.00		0.00000		0.00000		1000.00000		0.00000
philongtu22222      		95.00		0.00000		0.00000		4612.00000		2639.00000
shmode1             		99.00		0.00000		0.00000		0.00000		300.00000
trandinhduc2013     		99.00		100000.00000		0.00000		0.00000		0.00000
cave16tq            		94.00		5000000.00000		0.00000		0.00000		100.00000
anhkhoa0988350778   		99.00		0.00000		0.00000		0.00000		0.00000
buidoi0505          		97.00		0.00000		0.00000		200.00000		0.00000
luckykun006         		90.00		500000.00000		50000.00000		3888.00000		0.00000
1223thienbao        		94.00		0.00000		0.00000		0.00000		1000.00000
babylakut1000x      		83.00		18700.00000		0.00000		5950.00000		8750.00000
samfu1992           		73.00		0.00000		0.00000		0.00000		0.00000
teika3281           		92.00		0.00000		113599.00000		0.00000		2700.00000
s2vkham09089894     		59.00		0.00000		1000000.00000		0.00000		0.00000
gamakhonggai2010    		85.00		1500000.00000		1500000.00000		1800.00000		600.00000
phamchauttnnth2     		98.00		5380000.00000		0.00000		108.00000		0.00000
phamchauttnnth3     		95.00		0.00000		0.00000		0.00000		709.00000
vietnam1256         		98.00		3500000.00000		0.00000		0.00000		0.00000
trannguyenanhkhoa2010		98.00		500000.00000		120000.00000		0.00000		0.00000
yeuem81000          		97.00		0.00000		360000.00000		350.00000		0.00000
zkhatmau            		94.00		0.00000		0.00000		0.00000		900.00000
tommiphat3          		11.00		0.00000		0.00000		100.00000		0.00000
zzzmiss20411zzz     		95.00		0.00000		0.00000		0.00000		0.00000
khadaisoai2         		97.00		0.00000		0.00000		13858.00000		11614.00000
levietphapcosu      		81.00		0.00000		0.00000		0.00000		200.00000
lehuyetkiempro      		35.00		0.00000		0.00000		600.00000		0.00000
panamagnqv          		80.00		0.00000		0.00000		0.00000		600.00000
heoiung0kmmmmmm     		71.00		0.00000		0.00000		350.00000		350.00000
hungbaochuahehk     		83.00		0.00000		0.00000		0.00000		300.00000
thamlang1visao      		99.00		0.00000		0.00000		0.00000		100.00000
lamviet007          		99.00		0.00000		0.00000		0.00000		300.00000
caothienhao224      		95.00		0.00000		1500000.00000		0.00000		500.00000
trinhnhuy00         		97.00		0.00000		2700000.00000		100.00000		0.00000
koppikonek          		96.00		0.00000		0.00000		0.00000		0.00000
detthuygocbbeo      		79.00		0.00000		0.00000		450.00000		750.00000
trungngai86         		88.00		0.00000		389422.00000		1400.00000		700.00000
xusothantien261993  		96.00		0.00000		10900000.00000		1000.00000		700.00000
t01689300002        		99.00		240000000.00000		340000000.00000		1300.00000		1500.00000
jindo8xitek         		83.00		0.00000		0.00000		300.00000		300.00000
prongokkim          		97.00		0.00000		50000.00000		0.00000		0.00000
xinh20202050        		99.00		0.00000		0.00000		0.00000		0.00000
tacdzang601         		91.00		0.00000		0.00000		0.00000		438.00000
gachoigameqnn       		96.00		0.00000		0.00000		0.00000		100.00000
00012345a           		94.00		1000000.00000		400000.00000		950.00000		1000.00000
buivandoanxnd       		99.00		51500000.00000		0.00000		200.00000		1300.00000
hayhungcutthep      		79.00		0.00000		0.00000		2850.00000		3000.00000
nhatphongtbdb       		99.00		0.00000		0.00000		0.00000		100.00000
anhbantuan030tv     		91.00		0.00000		0.00000		0.00000		100.00000
handoi78978989      		36.00		1000000.00000		0.00000		0.00000		0.00000
camel1991211        		99.00		0.00000		0.00000		0.00000		100.00000
levanchungpro21     		82.00		0.00000		25500174.00000		1150.00000		300.00000
aaatuan             		81.00		0.00000		0.00000		0.00000		0.00000
xaytruvaycjap       		79.00		0.00000		0.00000		150.00000		450.00000
nghenhandieu        		90.00		22568300.00000		0.00000		0.00000		0.00000
dkmdivedau          		90.00		28300000.00000		0.00000		0.00000		500.00000
nguyenhao.96        		95.00		493950.00000		2000000.00000		0.00000		1708.00000
dubiphunhan         		99.00		0.00000		50000000.00000		500.00000		1500.00000
volam2253330vn      		99.00		0.00000		3300000.00000		2200.00000		0.00000
nguyenvanhuynh2023  		99.00		0.00000		0.00000		0.00000		0.00000
cukid6879           		79.00		0.00000		0.00000		0.00000		0.00000
tuoity1221          		95.00		400000.00000		150000.00000		1050.00000		700.00000
congsuy013          		99.00		0.00000		0.00000		0.00000		500.00000
minhthanh0974458684ok		92.00		0.00000		0.00000		6500.00000		0.00000
1stvampiredk01      		99.00		250000.00000		0.00000		0.00000		200.00000
chymcuveto          		79.00		117999700.00000		0.00000		0.00000		600.00000
vunhatvi1           		72.00		0.00000		0.00000		1700.00000		800.00000
cauutdu007          		96.00		0.00000		0.00000		0.00000		200.00000
tomhichic           		86.00		0.00000		0.00000		0.00000		505.00000
kimhoangsapa2       		93.00		0.00000		0.00000		0.00000		300.00000
rua8887             		99.00		0.00000		0.00000		0.00000		0.00000
sunshineintherain25 		96.00		0.00000		0.00000		200.00000		0.00000
hoantamtq1          		99.00		0.00000		0.00000		0.00000		0.00000
tvtuannb            		99.00		0.00000		0.00000		0.00000		209.00000
dinhduc778          		96.00		0.00000		0.00000		200.00000		200.00000
teika11861          		92.00		0.00000		0.00000		0.00000		900.00000
teika11864          		93.00		0.00000		0.00000		0.00000		300.00000
thieulamvotongquyen113		79.00		0.00000		290000.00000		319.00000		0.00000
babyhanvolam        		93.00		0.00000		1220000.00000		350.00000		0.00000
teika11867          		93.00		0.00000		0.00000		0.00000		1200.00000
maylaysiaei6t       		84.00		0.00000		0.00000		1800.00000		2250.00000
bichtykidty         		99.00		0.00000		50000000.00000		0.00000		0.00000
vdk5ho10            		98.00		0.00000		0.00000		0.00000		400.00000
chihn11             		85.00		0.00000		300000.00000		0.00000		0.00000
sodua94             		96.00		5000000.00000		8000000.00000		750.00000		2450.00000
llkhicon4           		53.00		0.00000		3500000.00000		0.00000		350.00000
xoanretoxmontren    		79.00		0.00000		0.00000		150.00000		0.00000
anhnongkohay4111    		93.00		0.00000		0.00000		900.00000		0.00000
cautrelacleoxxwpog  		82.00		0.00000		0.00000		0.00000		300.00000
nhisacthunhilon999  		99.00		0.00000		0.00000		0.00000		0.00000
cudasieutoc6        		98.00		1000000.00000		5000000.00000		700.00000		3100.00000
hothienmy6          		73.00		0.00000		0.00000		0.00000		1200.00000
tomxaandaakpho      		81.00		0.00000		0.00000		300.00000		0.00000
khaison1990         		64.00		290000.00000		10849405.00000		9500.00000		7400.00000
dichminhquy007      		65.00		1610000.00000		7000000.00000		0.00000		1158.00000
nguyenductailxnl19  		51.00		0.00000		0.00000		0.00000		14000.00000
trandinhhien1088    		96.00		0.00000		0.00000		0.00000		500.00000
anhthuoclao2        		73.00		0.00000		520000.00000		300.00000		300.00000
tinhyeubatdiet0002bt		95.00		0.00000		0.00000		0.00000		700.00000
jerry0102           		97.00		0.00000		0.00000		1600.00000		0.00000
linh113haha         		35.00		0.00000		450000.00000		1500.00000		1007.00000
ybotbatchopvung     		79.00		0.00000		0.00000		300.00000		0.00000
teika3674           		90.00		0.00000		0.00000		0.00000		300.00000
bodoithisao9        		98.00		0.00000		500000.00000		0.00000		0.00000
gaylxag95           		87.00		33000000.00000		0.00000		700.00000		5200.00000
cuongpro_1999_qt    		92.00		0.00000		0.00000		350.00000		0.00000
langtuchoigame01    		98.00		0.00000		1100000.00000		450.00000		1500.00000
huongtinhcu1983     		97.00		0.00000		12800000.00000		1900.00000		300.00000
nminhnhu            		86.00		0.00000		0.00000		5250.00000		0.00000
huongtinhcu1981     		82.00		1800000.00000		0.00000		0.00000		2100.00000
nguyenvannhivc      		71.00		6600000.00000		0.00000		0.00000		0.00000
huongtinhcu1987     		96.00		150000.00000		0.00000		0.00000		2200.00000
monacofk0c          		83.00		0.00000		0.00000		0.00000		450.00000
myfamylylove        		99.00		0.00000		0.00000		0.00000		0.00000
volamdongta1        		99.00		0.00000		0.00000		0.00000		0.00000
kiemtienyy40        		89.00		0.00000		0.00000		150.00000		0.00000
bichphucheronui     		79.00		0.00000		0.00000		750.00000		0.00000
kiemtienyy42        		89.00		0.00000		0.00000		300.00000		0.00000
kiemtienyy43        		89.00		0.00000		0.00000		150.00000		0.00000
kiemtienyy44        		89.00		0.00000		0.00000		300.00000		0.00000
kiemtienyy46        		89.00		0.00000		0.00000		150.00000		0.00000
kiemtienyy47        		89.00		0.00000		0.00000		300.00000		0.00000
kiemtienyy48        		89.00		0.00000		0.00000		300.00000		0.00000
kiemtienyy49        		89.00		0.00000		0.00000		150.00000		0.00000
gauyeu119x          		99.00		0.00000		0.00000		800.00000		0.00000
nhatkjemtjeu        		96.00		0.00000		0.00000		0.00000		1750.00000
hrtuyho33           		98.00		0.00000		0.00000		600.00000		0.00000
huyvip99ndvn18      		62.00		0.00000		590000.00000		1400.00000		1050.00000
nhockullovestory2015		78.00		0.00000		0.00000		1800.00000		4050.00000
daoyeudepdoganh     		79.00		0.00000		0.00000		600.00000		600.00000
silexa              		42.00		0.00000		0.00000		1500.00000		0.00000
daigundertran16321018		99.00		0.00000		14000000.00000		0.00000		0.00000
ngaisreudakchum     		80.00		0.00000		0.00000		150.00000		150.00000
lozpagia1234        		99.00		25000000.00000		0.00000		0.00000		0.00000
cogajthichbopdaj    		99.00		150000.00000		0.00000		0.00000		0.00000
oncewish000         		90.00		10760715.00000		8840000.00000		2500.00000		2900.00000
sangkola132         		48.00		0.00000		0.00000		0.00000		400.00000
